20140801 ;88;05;77;26;73;44;08;20;62;92;31;74;85;36;63;52;92;83;37;94;89;26;22;17;11;36;89;
20140802 ;45;08;04;18;49;11;35;34;72;31;33;68;41;48;90;29;31;07;62;17;04;23;34;69;24;21;22;
20140803 ;99;30;27;16;91;39;97;44;16;55;45;87;48;48;02;44;71;05;04;66;57;99;07;02;14;12;92;
20140804 ;04;03;09;78;66;40;84;22;92;56;72;76;78;66;71;25;77;80;65;39;39;05;31;06;17;66;29;
20140805 ;05;62;66;80;09;86;93;23;21;21;79;21;33;74;50;08;35;17;37;98;09;42;42;26;12;89;04;
20140806 ;04;86;68;47;68;05;47;79;99;45;32;68;83;34;65;04;33;62;97;37;35;66;65;78;94;02;07;
20140807 ;53;03;26;73;83;32;64;23;05;80;30;01;94;31;92;46;07;52;01;24;04;53;80;59;00;85;96;
20140808 ;27;15;53;05;57;56;62;45;70;12;69;17;39;44;86;59;29;92;46;88;54;93;71;50;34;93;19;
20140809 ;89;58;22;21;38;23;27;48;55;54;43;80;10;18;76;30;88;46;05;14;17;84;17;03;71;33;74;
20140810 ;13;61;71;05;74;10;75;45;06;83;52;07;50;31;31;89;91;51;27;23;08;64;48;62;24;72;78;
20140811 ;79;87;60;41;70;41;32;56;35;54;02;54;59;16;74;71;22;08;44;11;61;79;75;69;70;55;58;
20140812 ;61;34;90;57;28;62;99;07;29;43;42;96;31;08;30;41;17;52;30;18;07;77;70;29;06;99;85;
20140813 ;63;27;07;81;93;02;94;25;90;77;86;87;69;04;38;67;49;45;42;12;99;70;96;82;98;08;52;
20140814 ;92;54;66;54;60;14;02;03;44;65;18;38;31;64;02;08;67;30;62;70;55;93;75;49;07;02;19;
20140815 ;68;97;42;65;31;63;32;84;43;52;41;49;92;34;80;54;46;49;56;20;48;85;13;90;71;65;16;
20140816 ;62;12;72;99;91;03;50;85;33;81;87;16;36;18;74;69;09;37;86;11;46;40;47;78;74;68;32;
20140817 ;59;39;22;21;09;79;21;54;03;76;46;92;35;10;17;03;16;72;07;60;84;44;92;65;67;71;18;
20140818 ;70;98;99;70;04;11;90;19;81;98;85;94;09;37;06;84;28;64;09;81;01;74;08;50;79;98;89;
20140819 ;97;12;72;94;38;94;26;05;40;30;27;87;97;25;34;67;98;74;42;91;63;14;93;40;95;85;13;
20140820 ;64;19;92;55;19;31;30;34;69;48;46;16;92;74;58;70;45;75;27;05;15;37;20;30;66;87;64;
20140821 ;29;49;79;67;15;92;79;41;79;83;19;44;64;17;12;84;74;35;32;33;19;24;63;25;83;94;69;
20140822 ;88;00;19;06;60;67;31;51;60;94;18;37;33;23;05;43;11;34;55;09;26;68;67;73;89;38;72;
20140823 ;48;05;85;73;93;52;23;24;36;25;57;36;92;11;34;76;68;50;02;00;17;50;00;13;42;58;27;
20140824 ;82;72;54;76;24;48;38;02;06;09;13;08;80;12;80;88;55;80;72;44;38;66;36;29;77;40;50;
20140825 ;97;52;13;69;57;57;16;60;07;01;15;24;83;40;67;48;47;12;14;43;17;05;28;13;40;84;12;
20140826 ;70;85;20;06;85;06;95;25;92;35;82;06;81;51;31;75;61;40;47;02;72;13;64;03;23;75;09;
20140827 ;55;47;48;45;28;58;40;62;29;99;00;73;55;52;44;63;47;46;17;13;94;31;10;72;80;16;65;
20140828 ;60;00;92;14;79;03;20;72;12;88;07;19;38;50;14;86;58;09;69;47;98;45;18;69;10;29;61;
20140829 ;49;04;41;46;10;70;71;50;69;10;26;43;22;43;16;68;23;72;63;13;01;85;78;78;77;38;79;
20140830 ;54;48;48;27;04;79;59;55;92;61;98;77;28;72;60;50;96;48;34;28;12;58;71;01;49;83;46;
20140831 ;07;14;69;10;10;51;61;82;75;82;34;60;00;90;36;61;34;94;68;60;56;44;96;37;48;05;99;
20140901 ;09;41;17;98;96;50;96;04;18;38;06;97;83;29;71;52;15;15;53;70;31;45;26;89;42;81;55;
20140902 ;48;85;12;15;32;50;71;52;96;97;28;25;35;01;66;38;09;51;27;12;02;88;59;67;43;25;68;
